0.042,0.036,0.037,0.037,0.039,0.037,0.037,0.039,0.036,0.034,0.039,0.036
37 PS,4437,4437,4443,4443,4444,4444,4460,4460,4469,4469,
0.034,0.038,0.037,0.035,0.036,0.039,0.037,0.041,0.04,0.033,0.034,0.034
0.037,0.221,0.433,0.285,0.297,0.35,0.799,0.27,0.229,0.32,0.571,0.159
0.04,0.186,0.17,0.188,0.255,0.266,0.257,0.15,0.196,0.253,0.387,0.124
0.037,0.18,0.171,0.168,0.258,0.284,0.279,0.169,0.242,0.236,0.337,0.153
0.037,0.152,0.277,0.385,0.363,0.406,0.249,0.168,0.236,0.256,0.81,0.147
0.037,0.209,0.316,0.249,0.335,0.431,0.159,0.164,0.154,0.235,0.832,0.172
0.036,0.317,0.371,0.325,0.289,0.6,0.186,0.366,0.392,0.521,0.711,0.127
0.039,0.042,0.037,0.039,0.039,0.041,0.044,0.041,0.037,0.037,0.04,0.038
37 PS,4484,4484,4504,4504,4508,4508,4510,4510,4512,4512,
0.035,0.036,0.037,0.038,0.038,0.042,0.038,0.04,0.037,0.037,0.04,0.044
0.036,0.342,0.47,0.777,0.336,0.498,0.191,0.908,0.579,1.053,0.884,0.159
0.04,0.178,0.176,0.579,0.466,0.286,0.365,0.438,0.452,0.503,0.771,0.098
0.037,0.199,0.208,0.442,0.436,0.25,0.295,0.445,0.429,0.484,0.891,0.096
0.041,0.43,0.48,0.48,0.639,0.198,0.236,0.405,0.709,0.448,0.539,0.097
0.04,0.575,0.453,0.46,0.867,0.264,0.304,0.84,0.894,0.678,0.381,0.169
0.041,1.005,0.538,0.918,1.211,0.814,0.385,0.621,1.553,1.942,0.492,0.143
0.039,0.038,0.047,0.042,0.041,0.041,0.045,0.041,0.041,0.041,0.044,0.047
37 PS,4513,4513,4516,4516,4517,4517,4519,4519,4520,4520,
0.037,0.039,0.037,0.038,0.036,0.035,0.04,0.036,0.038,0.034,0.035,0.037
0.04,0.249,0.171,0.57,0.75,0.221,0.326,0.2,0.158,0.338,0.467,0.25
0.037,0.167,0.152,0.474,0.792,0.219,0.291,0.152,0.162,0.245,0.426,0.094
0.041,0.202,0.158,0.534,0.682,0.271,0.581,0.302,0.209,0.229,0.51,0.11
0.037,0.169,0.815,0.432,1.34,0.241,0.415,0.165,0.183,0.246,0.195,0.151
0.039,0.25,1.176,0.379,1.293,0.282,0.645,0.21,0.199,0.392,0.18,0.105
0.038,0.317,0.903,0.667,1.387,0.531,0.701,0.271,0.336,0.49,0.18,0.096
0.039,0.038,0.04,0.042,0.037,0.042,0.039,0.04,0.037,0.037,0.036,0.037
37 PS,4521,4521,4523,4523,4524,4524,4525,4525,4526,4526,
0.038,0.035,0.036,0.037,0.042,0.041,0.036,0.04,0.038,0.039,0.042,0.04
0.037,0.141,0.25,0.281,0.457,0.379,0.415,0.382,0.456,0.251,0.323,0.082
